,Event,Xintent,Xemotion,Otheremotion
0,Это любимый цвет персоны по,"[""нет""]","[""нет""]","[""счастливая""]"
1,Это любимый цвет персоны по,"[""нет""]","[""нет""]","[""порадовал""]"
2,Это любимый цвет персоны по,"[""нет""]","[""нет""]","[""счастлив"", ""рад""]"
3,Это хорошая вещь,"[""нет""]","[""нет""]","[""счастливы"", ""довольны""]"
4,Это хорошая вещь,"[""нет""]","[""нет""]","[""счастье"", ""в восторге""]"
5,Это занимает несколько дней,"[""нет""]","[""нет""]","[""приспичило""]"
6,Это тяжелая работа,"[""нет""]","[""нет""]","[""выполнена""]"
7,Это тяжелая работа,"[""нет""]","[""нет""]","[""подчеркнул""]"
8,Он разрезает,"[""нет""]","[""нет""]","[""боль""]"
9,Он разрезает,"[""нет""]","[""нет""]","[""отвращение""]"
10,Это любимый PersonX животных,"[""нет""]","[""нет""]","[""рады видеть его"", ""счастливый"", ""счастливый""]"
11,Это любимый PersonX животных,"[""нет""]","[""нет""]","[""счастлив"", ""рад""]"
12,Это намного сложнее,"[""нет""]","[""нет""]","[""поражение"", ""ума""]"
13,Это намного сложнее,"[""нет""]","[""нет""]","[""расстроен"", ""подчеркнул""]"
14,Это намного сложнее,"[""нет""]","[""нет""]","[""разочарование"", ""сдаться""]"
15,Он подъезжает машина PersonX по,"[""нет""]","[""нет""]","[""счастливая""]"
16,Он принимает форму,"[""нет""]","[""нет""]","[""Надежда""]"
17,Он впитывает влажный,"[""нет""]","[""нет""]","[""холодный"", ""несчастная""]"
18,Он впитывает влажный,"[""нет""]","[""нет""]","[""хмурый"", ""неудобно""]"
19,Начинается дождь,"[""нет""]","[""нет""]","[""хмурый"", ""устал""]"
20,Начинается дождь,"[""нет""]","[""нет""]","[""разочарован""]"
21,Начинается дождь,"[""нет""]","[""нет""]","[""мрачный"", ""грустный""]"
22,Он принимает форму,"[""нет""]","[""нет""]","[""выполнена""]"
23,Он должен один,"[""нет""]","[""нет""]","[""подготовленные""]"
24,Это день снег,"[""нет""]","[""нет""]","[""счастье"", ""детское"", ""нервный""]"
25,Это день снег,"[""нет""]","[""нет""]","[""счастлив"", ""рад"", ""радостный""]"
26,Это день снег,"[""нет""]","[""нет""]","[""холода""]"
27,Это мать 'ы день,"[""нет""]","[""нет""]","[""честь""]"
28,Это мать 'ы день,"[""нет""]","[""нет""]","[""счастливая""]"
29,Это совершенно пустые,"[""нет""]","[""нет""]","[""сад""]"
30,Это идет очень хорошо,"[""нет""]","[""нет""]","[""восторженных""]"
31,Это дожди трудно,"[""нет""]","[""нет""]","[""устал"", ""мрачный"", ""мочить""]"
32,Это дожди трудно,"[""нет""]","[""нет""]","[""синий"", ""вниз""]"
33,Это дожди трудно,"[""нет""]","[""нет""]","[""страшно"", ""волнуюсь""]"
34,Это пищевое отравление,"[""нет""]","[""нет""]","[""ужас""]"
35,Он упал бы и разбился,"[""нет""]","[""нет""]","[""расстроен"", ""печальный"", ""разочарованный""]"
36,Это теплый день,"[""нет""]","[""нет""]","[""приятно"", ""содержание""]"
37,Это теплый день,"[""нет""]","[""нет""]","[""удобные""]"
38,Это темно снаружи,"[""нет""]","[""нет""]","[""нервным"", ""боялся""]"
39,Это темно снаружи,"[""нет""]","[""нет""]","[""страх"", ""усталость""]"
40,Он становится длинным,"[""нет""]","[""нет""]","[""скучно""]"
41,Он должен один,"[""нет""]","[""нет""]","[""нуждающимся"", ""несбывшихся"", ""раздражен""]"
42,"Это, наконец, сделать","[""нет""]","[""нет""]",[завершено]
